Roll: 1301CH10
Semester Wise Details
Subject,Credits,Type,Grade,Sem
CH101,8,CORE,DD,1
CH110,3,CORE,CD,1
EE101,8,CORE,DD,1
HS101,6,CORE,CD,1
MA101,8,CORE,DD,1
ME110,3,CORE,BB,1
ME111,7,CORE,CC,1
PH101,6,CORE,CC,1
CH102,6,CORE,CC,2
CS101,6,CORE,DD,2
CS110,3,CORE,BC,2
EE102,4,CORE,BC,2
MA102,8,CORE,CC,2
ME101,8,CORE,CD,2
PH102,6,CORE,CD,2
PH110,3,CORE,BC,2
CB201,6,CORE,DD,3
CH203,8,CORE,CD,3
CH205,6,CORE,DD,3
CS201,9,CORE,CD,3
HS231,6,HS Elective,DD,3
MA201,8,CORE,DD,3
ME204,6,CORE,CD,3
CH202,6,CORE,CD,4
CH204,6,CORE,DD,4
CH206,6,CORE,DD,4
CH208,6,CORE,CD,4
CH210,6,CORE,BB,4
HS232,6,HS Elective,CD,4
MA231,6,Science Elective,DD,4
CB311,8,CORE,CD,5
CB314,3,CORE,BC,5
CH301,6,CORE,DD,5
CH303,6,CORE,CD,5
CH305,6,CORE,CC,5
CH307,6,CORE,CD,5
CH310,3,CORE,BB,5
HS351,6,HS Elective,CC,5
ME305,8,CORE,CD,5
CB302,6,CORE,CD,6
CB315,3,CORE,AB,6
CH302,6,CORE,DD,6
CH304,6,CORE,CC,6
CH306,5,CORE,CD,6
CH308,6,CORE,DD,6
CH320,3,CORE,BC,6
HS311,6,HSS Electives,CD,6
CB404,6,Department Elective - I,DD,7
CH400,2,CORE,BC,7
CH401,6,CORE,DD,7
CH409,6,Department Elective - II,DD,7
CH410,10,CORE,CC,7
HS451,6,Open Elective - I,CD,7
CB406,6,CORE,CD,8
CB411,6,Department Elective - III,CC,8
CB412,6,Open Elective - II,BC,8
CH411,16,CORE,BB,8
CH512,6,Department Elective - IV,CC,8
HS441,6,HS Elective,CD,8
