Roll: 0801EE15
Semester Wise Details
Subject,Credits,Type,Grade,Sem
CH101,8,CORE,CC,1
CH110,3,CORE,BC,1
EE101,8,CORE,CD,1
HS101,6,CORE,AB,1
MA101,8,CORE,DD,1
ME111,7,CORE,CC,1
PH101,6,CORE,CC,1
PH110,3,CORE,AB,1
CH102,6,CORE,DD,2
CS101,6,CORE,DD,2
CS110,3,CORE,CD,2
EE102,4,CORE,BC,2
MA102,8,CORE,CC,2
ME101,8,CORE,DD,2
ME110,3,CORE,BB,2
PH102,6,CORE,DD,2
CS201,9,CORE,DD,3
EE200,6,CORE,CC,3
EE201,6,CORE,DD,3
EE202,3,CORE,BB,3
EE220,8,CORE,CD,3
HS201,6,HS Elective,DD,3
MA201,8,CORE,CC,3
EE203,6,CORE,CC,4
EE204,3,CORE,AB,4
EE230,8,CORE,CC,4
EE280,6,CORE,DD,4
EE281,3,CORE,CD,4
HS202,6,HS ELECTIVE,DD,4
MA225,8,CORE,CD,4
MA251,6,Elective-Sc.,DD,4
EE310,6,CORE,CD,5
EE311,3,CORE,CD,5
EE320,6,CORE,CD,5
EE331,3,CORE,BC,5
EE350,6,CORE,CD,5
EE370,6,CORE,CD,5
EE371,3,CORE,BB,5
EE380,6,CORE,CC,5
EE304,4,CORE,AA,6
EE321,3,CORE,BB,6
EE322,6,CORE,BC,6
EE340,6,CORE,DD,6
EE351,6,CORE,DD,6
EE360,6,CORE,DD,6
EE361,3,CORE,CC,6
HS331,6,HS Elective,DD,6
EE400,2,CORE,BC,7
EE430,6,DEPARTMENTAL ELECTIVE - I,CD,7
EE480,6,CORE,CC,7
EE481,6,CORE,CD,7
EE482,3,CORE,BC,7
EE490,6,DEPARTMENTAL ELECTIVE - II,CD,7
EE498,10,CORE,BC,7
MA410,6,OPEN ELECTIVE - I,CC,7
EE483,6,Departmental Elective - III,CC,8
EE491,6,Departmental Elective - IV,CC,8
EE499,14,CORE,CC,8
HS441,6,HSS Elective,DD,8
MA412,6,Open Elective - II,CD,8
